sequence,client_time_iso,elapsed_ms,raw_angle_rad,raw_angle_deg,speech_detected,http_latency_ms,http_status,acoustic_state,acoustic_confidence,hypothesis_a_deg,hypothesis_b_deg,face_detected,face_count,face_center_x_norm,face_center_y_norm,face_heading_deg,face_confidence,face_score_raw,face_age_ms,fusion_state,confirmed_heading_deg,agreement_error_deg,reason_code
247,2026-08-27T22:04:33.619+01:00,48531.507700001384,1.2217304706573486,69.99999967119774,False,129.5681000010518,200,SEARCHING,0.0,,,True,1,0.5652112632989883,0.37323586146036786,7.527913577031541,0.933836817741394,0.933836817741394,273.35950000269804,WITHHELD,,,ACOUSTIC_NOT_TRACKING
248,2026-08-27T22:04:33.814+01:00,48607.41530000087,1.2217304706573486,69.99999967119774,False,12.608799999725306,200,SEARCHING,0.0,,,True,1,0.5650987967848777,0.3730985058678521,7.515764361740622,0.9326213598251343,0.9326213598251343,69.71440000052098,WITHHELD,,,ACOUSTIC_NOT_TRACKING
249,2026-08-27T22:04:34.013+01:00,48848.33090000029,1.2217304706573486,69.99999967119774,False,54.64700000084122,200,SEARCHING,0.0,,,True,1,0.5658433347940445,0.3739053938123915,7.596180518279226,0.935885488986969,0.935885488986969,57.55919999865,WITHHELD,,,ACOUSTIC_NOT_TRACKING
250,2026-08-27T22:04:34.214+01:00,49057.115200001135,1.2217304706573486,69.99999967119774,False,62.66970000069705,200,SEARCHING,0.0,,,True,1,0.565723828971386,0.3739512496524387,7.58327493771796,0.9336860179901123,0.9336860179901123,53.97670000093058,WITHHELD,,,ACOUSTIC_NOT_TRACKING
251,2026-08-27T22:04:34.414+01:00,49205.966000001354,1.2217304706573486,69.99999967119774,False,11.585500000364846,200,SEARCHING,0.0,,,True,1,0.565723828971386,0.3739512496524387,7.58327493771796,0.9336860179901123,0.9336860179901123,202.82750000114902,WITHHELD,,,ACOUSTIC_NOT_TRACKING
252,2026-08-27T22:04:34.616+01:00,49414.514700001746,1.2217304706573486,69.99999967119774,False,17.42970000123023,200,SEARCHING,0.0,,,True,1,0.564837634563446,0.3740286138322618,7.4875496457193265,0.9300763010978699,0.9300763010978699,206.5643000023556,WITHHELD,,,ACOUSTIC_NOT_TRACKING
253,2026-08-27T22:04:34.814+01:00,49612.58779999844,1.2217304706573486,69.99999967119774,False,17.564800000400282,200,SEARCHING,0.0,,,True,1,0.5649453192949295,0.3726587136586507,7.49918383183018,0.9255614280700684,0.9255614280700684,77.64809999935096,WITHHELD,,,ACOUSTIC_NOT_TRACKING
254,2026-08-27T22:04:35.015+01:00,49810.42850000085,1.7453292608261108,100.0000005060238,True,14.728699999977835,200,CANDIDATE,0.7185281153305368,-10.00000050602381,-169.9999994939762,True,1,0.5645843207836151,0.36729642550150554,7.460179347933405,0.9185948371887207,0.9185948371887207,48.985800000082236,WITHHELD,,,ACOUSTIC_NOT_TRACKING
255,2026-08-27T22:04:35.215+01:00,50006.696500000544,1.7453292608261108,100.0000005060238,False,11.966999998549,200,CANDIDATE,0.6967137929462567,-10.00000050602381,-169.9999994939762,True,1,0.5645843207836151,0.36729642550150554,7.460179347933405,0.9185948371887207,0.9185948371887207,245.25379999977304,WITHHELD,,,ACOUSTIC_NOT_TRACKING
256,2026-08-27T22:04:35.414+01:00,50209.735100001126,1.7453292608261108,100.0000005060238,False,14.983500001108041,200,CANDIDATE,0.6967137929462567,-10.00000050602381,-169.9999994939762,True,1,0.5651968389749527,0.37247760560777454,7.526355424887726,0.9318427443504333,0.9318427443504333,211.88850000180537,WITHHELD,,,ACOUSTIC_NOT_TRACKING
