file,plan_id,label,repetition,ground_truth,decision,live_similarity_score,raw_margin,valid_samples,speech_samples,speech_rate,speech_bursts_per_s,longest_speech_run_fraction,speech_transition_rate_hz,positive_angle_mad_norm,positive_angle_iqr_norm,positive_step_median_norm,positive_step_p90_norm,reason
2026-08-22_orientation-swap-control_03-of-06_original-right-after-180-rotation_take03_20260822-201350.csv,orientation-swap-control,original-right-after-180-rotation,3.0,LIVE_HUMAN,ABSTAIN_AMBIGUOUS,0.458801,-0.165171,34,7,0.20588235294117646,0.41080786187653745,0.11764705882352941,0.7189137582839406,0.05555569623501273,0.2400000066786083,0.0666666685218358,0.18666665668294166,Live-human and non-live endpoint dynamics overlap; abstain rather than force a label.
2026-08-22_orientation-swap-control_06-of-06_original-left-after-180-rotation_take03_20260822-201507.csv,orientation-swap-control,original-left-after-180-rotation,3.0,LIVE_HUMAN,ABSTAIN_AMBIGUOUS,0.451237,-0.195672,32,4,0.125,0.32038086877680183,0.0625,0.6407617375536037,0.07777777836107934,0.23166665651222482,0.23888887340170553,0.23888887340170553,Live-human and non-live endpoint dynamics overlap; abstain rather than force a label.
2026-08-23_front-back-ambiguity_03-of-12_front-only-continuous_take03_20260823-154829.csv,front-back-ambiguity,front-only-continuous,3.0,LIVE_HUMAN,ABSTAIN_AMBIGUOUS,0.484816,-0.060756,20,5,0.25,0.3997222330202742,0.1,0.7994444660405484,0.011111048177813625,0.30888886965780865,0.0055555240889068125,0.0055555240889068125,Live-human and non-live endpoint dynamics overlap; abstain rather than force a label.
2026-08-23_front-back-ambiguity_06-of-12_back-only-continuous_take03_20260823-155006.csv,front-back-ambiguity,back-only-continuous,3.0,LIVE_HUMAN,ABSTAIN_AMBIGUOUS,0.51464,0.058578,27,7,0.25925925925925924,0.5024897866438415,0.1111111111111111,1.004979573287683,0.02222224813760868,0.07777779259064006,0.011111086123308982,0.01555553575083072,Live-human and non-live endpoint dynamics overlap; abstain rather than force a label.
2026-08-23_front-back-ambiguity_09-of-12_front-back-alternating_take03_20260823-164625.csv,front-back-ambiguity,front-back-alternating,3.0,LIVE_HUMAN,ABSTAIN_AMBIGUOUS,0.496658,-0.013368,25,7,0.28,0.5142643032587797,0.12,0.9256757458658035,0.01111112406880434,0.031111117036255978,0.008333343051603255,0.010555567865364124,Live-human and non-live endpoint dynamics overlap; abstain rather than force a label.
2026-08-23_front-back-ambiguity_12-of-12_front-back-rapid-switch_take03_20260823-164917.csv,front-back-ambiguity,front-back-rapid-switch,3.0,LIVE_HUMAN,LIVE_LIKELY,0.799661,1.384174,32,14,0.4375,1.0318381929128813,0.0625,1.8573087472431862,0.022222248137608838,0.09166665593660063,0.024999991209314565,0.04833331380830845,Endpoint dynamics resemble the controlled live-human development trials. This is not identity proof.
2026-08-23_non-speech-confusion_03-of-18_clap_take03_20260823-133347.csv,non-speech-confusion,clap,3.0,NON_LIVE,ABSTAIN_NO_EVIDENCE,0.5,0.0,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fewer than two speech-positive endpoint samples; source type is unobservable.
2026-08-23_non-speech-confusion_06-of-18_keys_take03_20260823-133525.csv,non-speech-confusion,keys,3.0,NON_LIVE,NON_LIVE_LIKELY,0.274053,-0.974155,30,5,0.16666666666666666,0.12353219051233244,0.16666666666666666,0.24706438102466488,0.011111124068804499,0.1333333522218697,0.10000000278275359,0.20611112380334962,Endpoint dynamics resemble the controlled non-live development trials.
2026-08-23_non-speech-confusion_09-of-18_music_take03_20260823-133758.csv,non-speech-confusion,music,3.0,NON_LIVE,ABSTAIN_AMBIGUOUS,0.472524,-0.110016,27,5,0.18518518518518517,0.3857672460462072,0.07407407407407407,0.7715344920924144,0.0444444203842268,0.14555555075205898,0.11666666991321245,0.18333333843504818,Live-human and non-live endpoint dynamics overlap; abstain rather than force a label.
2026-08-23_non-speech-confusion_12-of-18_television_take03_20260823-133934.csv,non-speech-confusion,television,3.0,NON_LIVE,ABSTAIN_NO_EVIDENCE,0.5,0.0,29,1,0.034482758620689655,0.1288721572735188,0.034482758620689655,0.2577443145470376,0.0,0.0,0.0,0.0,Fewer than two speech-positive endpoint samples; source type is unobservable.
2026-08-23_non-speech-confusion_15-of-18_tone_take03_20260823-134133.csv,non-speech-confusion,tone,3.0,NON_LIVE,ABSTAIN_AMBIGUOUS,0.395296,-0.425103,29,2,0.06896551724137931,0.252231937355676,0.034482758620689655,0.504463874711352,0.07777775464514462,0.06222220371611561,0.0,0.0,Live-human and non-live endpoint dynamics overlap; abstain rather than force a label.
2026-08-23_non-speech-confusion_18-of-18_mechanical_take03_20260823-134540.csv,non-speech-confusion,mechanical,3.0,NON_LIVE,ABSTAIN_AMBIGUOUS,0.372775,-0.520329,40,10,0.25,0.3701564564971774,0.175,0.6169274274952957,0.0,0.01111112406880434,0.005555562034402249,0.0077777868481630884,Live-human and non-live endpoint dynamics overlap; abstain rather than force a label.
2026-08-23_two-speaker-conflict_03-of-12_alternating_take03_20260823-115238.csv,two-speaker-conflict,alternating,3.0,LIVE_HUMAN,LIVE_LIKELY,0.76838,1.199188,46,15,0.32608695652173914,0.8007110313958795,0.06521739130434782,1.601422062791759,0.0777777546451447,0.6855555468061801,0.011111105096056721,0.02444443500587432,Endpoint dynamics resemble the controlled live-human development trials. This is not identity proof.
2026-08-23_two-speaker-conflict_06-of-12_rapid-switch_take03_20260823-115528.csv,two-speaker-conflict,rapid-switch,3.0,LIVE_HUMAN,LIVE_LIKELY,0.896136,2.155013,48,18,0.375,1.1924148109048718,0.0625,2.3848296218097436,0.03333333426091784,0.6938888689877611,0.01111111458243058,0.09166666625303223,Endpoint dynamics resemble the controlled live-human development trials. This is not identity proof.
2026-08-23_two-speaker-conflict_09-of-12_overlap_take03_20260823-115707.csv,two-speaker-conflict,overlap,3.0,LIVE_HUMAN,LIVE_LIKELY,0.787027,1.307098,43,21,0.4883720930232558,0.8875754525426719,0.11627906976744186,1.5779119156314165,0.06666659263084493,0.6833332954305726,0.6388889082486543,0.6766666589347854,Endpoint dynamics resemble the controlled live-human development trials. This is not identity proof.
2026-08-23_two-speaker-conflict_12-of-12_masking_take03_20260823-115849.csv,two-speaker-conflict,masking,3.0,LIVE_HUMAN,LIVE_LIKELY,0.743997,1.066847,45,29,0.6444444444444445,0.807323391953085,0.15555555555555556,1.5137313599120343,0.03333333426091786,0.6844444343992997,0.19444444353110477,0.27777779815614706,Endpoint dynamics resemble the controlled live-human development trials. This is not identity proof.
