file,group,ground_truth,decision,raw_margin
2026-08-23_non-speech-confusion_01-of-18_clap_take01_20260823-133231.csv,non-speech-confusion:clap,NON_LIVE,ABSTAIN_NO_EVIDENCE,0.0
2026-08-23_non-speech-confusion_02-of-18_clap_take02_20260823-133255.csv,non-speech-confusion:clap,NON_LIVE,ABSTAIN_AMBIGUOUS,-0.29943868580345556
2026-08-23_non-speech-confusion_04-of-18_keys_take01_20260823-133436.csv,non-speech-confusion:keys,NON_LIVE,ABSTAIN_AMBIGUOUS,-0.5902856406612249
2026-08-23_non-speech-confusion_05-of-18_keys_take02_20260823-133500.csv,non-speech-confusion:keys,NON_LIVE,ABSTAIN_AMBIGUOUS,-0.5821723083230717
2026-08-23_non-speech-confusion_16-of-18_mechanical_take01_20260823-134457.csv,non-speech-confusion:mechanical,NON_LIVE,ABSTAIN_AMBIGUOUS,-0.45449977544460873
2026-08-23_non-speech-confusion_17-of-18_mechanical_take02_20260823-134518.csv,non-speech-confusion:mechanical,NON_LIVE,ABSTAIN_NO_EVIDENCE,0.0
2026-08-23_non-speech-confusion_07-of-18_music_take01_20260823-133711.csv,non-speech-confusion:music,NON_LIVE,NON_LIVE_LIKELY,-1.0785843748534718
2026-08-23_non-speech-confusion_08-of-18_music_take02_20260823-133735.csv,non-speech-confusion:music,NON_LIVE,ABSTAIN_AMBIGUOUS,-0.4982510840226723
2026-08-23_non-speech-confusion_10-of-18_television_take01_20260823-133844.csv,non-speech-confusion:television,NON_LIVE,ABSTAIN_AMBIGUOUS,-0.4698701169542147
2026-08-23_non-speech-confusion_11-of-18_television_take02_20260823-133909.csv,non-speech-confusion:television,NON_LIVE,ABSTAIN_NO_EVIDENCE,0.0
2026-08-23_non-speech-confusion_13-of-18_tone_take01_20260823-134047.csv,non-speech-confusion:tone,NON_LIVE,ABSTAIN_AMBIGUOUS,-0.059543959114405576
2026-08-23_non-speech-confusion_14-of-18_tone_take02_20260823-134110.csv,non-speech-confusion:tone,NON_LIVE,ABSTAIN_AMBIGUOUS,0.7732150510337481
2026-08-22_orientation-swap-control_04-of-06_original-left-after-180-rotation_take01_20260822-201421.csv,orientation-swap-control:original-left-after-180-rotation,LIVE_HUMAN,ABSTAIN_AMBIGUOUS,0.4238539147072701
2026-08-22_orientation-swap-control_05-of-06_original-left-after-180-rotation_take02_20260822-201443.csv,orientation-swap-control:original-left-after-180-rotation,LIVE_HUMAN,LIVE_LIKELY,1.193422896449998
2026-08-22_orientation-swap-control_01-of-06_original-right-after-180-rotation_take01_20260822-201258.csv,orientation-swap-control:original-right-after-180-rotation,LIVE_HUMAN,ABSTAIN_AMBIGUOUS,0.4286755722436835
2026-08-22_orientation-swap-control_02-of-06_original-right-after-180-rotation_take02_20260822-201324.csv,orientation-swap-control:original-right-after-180-rotation,LIVE_HUMAN,ABSTAIN_AMBIGUOUS,-0.07279529083466635
2026-08-20_home_silence_take02_20260820-125856.csv,standalone:silence,NON_LIVE,ABSTAIN_AMBIGUOUS,-0.35114328411501916
2026-08-20_home_silence_take03_20260820-130410.csv,standalone:silence,NON_LIVE,ABSTAIN_AMBIGUOUS,-0.3646004595659964
2026-08-23_two-speaker-conflict_01-of-12_alternating_take01_20260823-115150.csv,two-speaker-conflict:alternating,LIVE_HUMAN,ABSTAIN_AMBIGUOUS,0.4570671818056402
2026-08-23_two-speaker-conflict_02-of-12_alternating_take02_20260823-115215.csv,two-speaker-conflict:alternating,LIVE_HUMAN,ABSTAIN_AMBIGUOUS,0.6967106984851534
2026-08-23_two-speaker-conflict_10-of-12_masking_take01_20260823-115757.csv,two-speaker-conflict:masking,LIVE_HUMAN,ABSTAIN_AMBIGUOUS,0.8900611422476343
2026-08-23_two-speaker-conflict_11-of-12_masking_take02_20260823-115823.csv,two-speaker-conflict:masking,LIVE_HUMAN,LIVE_LIKELY,2.2584145975264205
2026-08-23_two-speaker-conflict_08-of-12_overlap_take02_20260823-115644.csv,two-speaker-conflict:overlap,LIVE_HUMAN,LIVE_LIKELY,2.1155253295974656
2026-08-23_two-speaker-conflict_04-of-12_rapid-switch_take01_20260823-115444.csv,two-speaker-conflict:rapid-switch,LIVE_HUMAN,LIVE_LIKELY,0.9759808285434888
2026-08-23_two-speaker-conflict_05-of-12_rapid-switch_take02_20260823-115505.csv,two-speaker-conflict:rapid-switch,LIVE_HUMAN,LIVE_LIKELY,0.9521076725734136
