sequence,client_time_iso,elapsed_ms,raw_angle_rad,raw_angle_deg,speech_detected,http_latency_ms,http_status,acoustic_state,acoustic_confidence,hypothesis_a_deg,hypothesis_b_deg,face_detected,face_count,face_center_x_norm,face_center_y_norm,face_eye_midpoint_x_norm,face_eye_midpoint_y_norm,camera_frame_width_px,camera_frame_height_px,face_heading_deg,face_confidence,face_score_raw,face_age_ms,fusion_state,confirmed_heading_deg,agreement_error_deg,reason_code
5882,2026-08-31T17:59:27.722+01:00,1235613.872199996,1.3089969158172607,74.99999867197056,False,15.115599991986528,200,SEARCHING,0.0,,,True,1,0.5124285906553269,0.34126513799031577,0.513410997390747,0.32444451649983724,1280,720,1.769701207058688,0.9039233326911926,0.9039233326911926,170.8582999999635,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5883,2026-08-31T17:59:27.908+01:00,1235802.7939999956,1.3089969158172607,74.99999867197056,False,18.48769999924116,200,SEARCHING,0.0,,,True,1,0.5122603118419647,0.34115499390496146,0.5132601499557495,0.3243607097201877,1280,720,1.7512233808453175,0.9030877351760864,0.9030877351760864,143.1488999951398,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5884,2026-08-31T17:59:28.109+01:00,1236011.636400006,1.3089969158172607,74.99999867197056,False,26.360299991210923,200,SEARCHING,0.0,,,True,1,0.5115244418382645,0.33933499654134114,0.5128699779510498,0.32266551123725046,1280,720,1.6704170712546045,0.9040653109550476,0.9040653109550476,152.48860001156572,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5885,2026-08-31T17:59:28.311+01:00,1236214.1157000079,1.3089969158172607,74.99999867197056,False,26.554900003247894,200,SEARCHING,0.0,,,True,1,0.5113925218582154,0.3390218310885959,0.512880539894104,0.3222450362311469,1280,720,1.6559301502037158,0.9047675132751465,0.9047675132751465,145.98390000173822,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5886,2026-08-31T17:59:28.508+01:00,1236406.411600001,1.3089969158172607,74.99999867197056,False,22.00079998874571,200,SEARCHING,0.0,,,True,1,0.5117242604494094,0.3402421315511068,0.512737512588501,0.32283916473388674,1280,720,1.6923599391106734,0.901982307434082,0.901982307434082,104.48579999501817,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5887,2026-08-31T17:59:28.747+01:00,1236646.9613000008,1.2740904092788696,73.00000316977493,True,22.59300000150688,200,CANDIDATE,0.7144474655835841,16.999996830225086,163.0000031697749,True,1,0.5117242604494094,0.3402421315511068,0.512737512588501,0.32283916473388674,1280,720,1.6923599391106734,0.901982307434082,0.901982307434082,345.0354999949923,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5888,2026-08-31T17:59:28.984+01:00,1236885.3907999946,1.2915436029434204,73.99999750577815,False,25.447499996516854,200,CANDIDATE,0.7144474655835841,16.999996830225086,163.0000031697749,True,1,0.5122646182775498,0.3409591144985623,0.5135449409484864,0.32283906936645507,1280,720,1.7516962528250986,0.9022436738014221,0.9022436738014221,234.75689999759197,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5889,2026-08-31T17:59:29.109+01:00,1236999.1574999948,1.8151423931121826,103.99999834060421,True,13.876400000299327,200,CANDIDATE,0.7734415651009862,13.124997433871414,166.87500256612861,True,1,0.5122545182704925,0.3407250351376004,0.5133516550064087,0.3230094167921278,1280,720,1.750587212213702,0.9012184143066406,0.9012184143066406,120.58399998932146,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5890,2026-08-31T17:59:29.308+01:00,1237205.9282000046,1.2915436029434204,73.99999750577815,False,21.38120000017807,200,CANDIDATE,0.7734415651009862,10.218747886606167,169.78125211339386,True,1,0.5128305315971374,0.3394226180182563,0.5143265008926392,0.32280649609035916,1280,720,1.8138347658410225,0.9059029221534729,0.9059029221534729,70.8054999995511,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5891,2026-08-31T17:59:29.509+01:00,1237406.7290000021,1.2566370964050293,72.00000200358254,False,21.969200010062195,200,TRACKING_AXIS,0.7734415651009862,8.039060726157231,171.96093927384277,True,1,0.5129978090524674,0.3398977438608805,0.5146544933319092,0.322780630323622,1280,720,1.8322013834874724,0.9058576822280884,0.9058576822280884,69.91500000003725,CONFIRMED,8.039060726157231,6.206859342669759,ACOUSTIC_VISUAL_AGREEMENT
