sequence,client_time_iso,elapsed_ms,raw_angle_rad,raw_angle_deg,speech_detected,http_latency_ms,http_status,acoustic_state,acoustic_confidence,hypothesis_a_deg,hypothesis_b_deg,face_detected,face_count,face_center_x_norm,face_center_y_norm,face_eye_midpoint_x_norm,face_eye_midpoint_y_norm,camera_frame_width_px,camera_frame_height_px,face_heading_deg,face_confidence,face_score_raw,face_age_ms,fusion_state,confirmed_heading_deg,agreement_error_deg,reason_code
5211,2026-08-31T17:22:17.534+01:00,1047064.7281999991,1.2566370964050293,72.00000200358254,False,27.09379999578232,200,SEARCHING,0.0,,,True,1,0.5146087050437927,0.43744242986043297,0.5173261165618896,0.4242818620469835,1280,720,2.00905362594753,0.9082244634628296,0.9082244634628296,97.7707999991253,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5212,2026-08-31T17:22:17.737+01:00,1047262.4834000017,1.2566370964050293,72.00000200358254,False,21.62309999403078,200,SEARCHING,0.0,,,True,1,0.5148295313119888,0.4366722000969781,0.5177916288375854,0.4229602601793077,1280,720,2.0332941324294893,0.9046131372451782,0.9046131372451782,97.0004000046174,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5213,2026-08-31T17:22:17.936+01:00,1047466.6586000021,1.2566370964050293,72.00000200358254,False,26.02879999903962,200,SEARCHING,0.0,,,True,1,0.514783963561058,0.4372339089711507,0.5171443462371826,0.42228446536593967,1280,720,2.0282921357626833,0.903351902961731,0.903351902961731,64.72590000339551,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5214,2026-08-31T17:22:18.135+01:00,1047658.4234999972,1.2566370964050293,72.00000200358254,False,19.33890000509564,200,SEARCHING,0.0,,,True,1,0.514783963561058,0.4372339089711507,0.5171443462371826,0.42228446536593967,1280,720,2.0282921357626833,0.903351902961731,0.903351902961731,256.4907999985735,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5215,2026-08-31T17:22:18.444+01:00,1047958.6597000016,1.2566370964050293,72.00000200358254,False,9.403100004419684,200,SEARCHING,0.0,,,True,1,0.515199726819992,0.4371869617038303,0.5177835941314697,0.4226692411634657,1280,720,2.073929537725519,0.9021018147468567,0.9021018147468567,320.83330000023125,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5216,2026-08-31T17:22:18.533+01:00,1048184.8669000028,1.2566370964050293,72.00000200358254,True,146.282900001097,200,CANDIDATE,0.7111128920876052,17.99999799641745,162.00000200358255,True,1,0.515179917216301,0.437331125471327,0.5176806449890137,0.4224190394083659,1280,720,2.0717551411574107,0.9033464193344116,0.9033464193344116,215.07019999990007,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5217,2026-08-31T17:22:18.734+01:00,1048252.1350000025,1.2566370964050293,72.00000200358254,True,14.039800000318792,200,CANDIDATE,0.8870471689269234,17.99999799641745,162.00000200358255,True,1,0.515179917216301,0.437331125471327,0.5176806449890137,0.4224190394083659,1280,720,2.0717551411574107,0.9033464193344116,0.9033464193344116,282.3382999995374,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5218,2026-08-31T17:22:18.934+01:00,1048452.177500003,1.239183783531189,71.00000083739013,True,14.168400004564319,200,CANDIDATE,0.9620467131826252,17.99999799641745,162.00000200358255,True,1,0.5152221828699112,0.4371540069580078,0.5176616668701172,0.42294305165608725,1280,720,2.076394413624058,0.9028115272521973,0.9028115272521973,257.476000006136,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5219,2026-08-31T17:22:19.133+01:00,1048656.912700004,1.2566370964050293,72.00000200358254,True,19.332300005771685,200,CANDIDATE,0.9620467131826252,17.99999799641745,162.00000200358255,True,1,0.5145157217979431,0.4372099929385715,0.5167073965072632,0.42161905500623914,1280,720,1.9988464678935998,0.9002679586410522,0.9002679586410522,239.6459000010509,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5220,2026-08-31T17:22:19.402+01:00,1048925.5650999984,1.2042771577835083,68.99999850500534,True,20.30229999945732,200,TRACKING_AXIS,0.9610540518264461,17.99999799641745,162.00000200358255,True,1,0.5159817695617676,0.4361199061075846,0.5177899837493897,0.4220758226182726,1280,720,2.159765439342067,0.9012148380279541,0.9012148380279541,300.6537999972352,CONFIRMED,17.99999799641745,15.840232557075382,ACOUSTIC_VISUAL_AGREEMENT
5221,2026-08-31T17:22:19.550+01:00,1049065.4746,1.2042771577835083,68.99999850500534,False,10.631500001181848,200,TRACKING_AXIS,0.96241791695952,17.99999799641745,162.00000200358255,True,1,0.5161497414112091,0.4359982172648112,0.5177743434906006,0.4218098322550456,1280,720,2.178200539075192,0.9016534686088562,0.9016534686088562,144.10640000278363,CONFIRMED,17.99999799641745,15.821797457342257,ACOUSTIC_VISUAL_AGREEMENT
5222,2026-08-31T17:22:19.733+01:00,1049254.3845999972,1.2042771577835083,68.99999850500534,False,17.735200002789497,200,TRACKING_AXIS,0.96241791695952,17.99999799641745,162.00000200358255,True,1,0.5161852210760116,0.4361814392937554,0.5179499387741089,0.42222071753607854,1280,720,2.1820944146728607,0.9009278416633606,0.9009278416633606,136.93059999786783,CONFIRMED,17.99999799641745,15.817903581744588,ACOUSTIC_VISUAL_AGREEMENT
5223,2026-08-31T17:22:19.934+01:00,1049455.0314000007,1.2042771577835083,68.99999850500534,False,17.496699998446275,200,TRACKING_AXIS,0.9537088524579072,18.03749804014967,161.96250195985033,True,1,0.5138161242008209,0.43794072998894584,0.5160064935684204,0.4217231538560655,1280,720,1.9220447016170397,0.9024141430854797,0.9024141430854797,137.09299999754876,CONFIRMED,18.03749804014967,16.11545333853263,ACOUSTIC_VISUAL_AGREEMENT
5224,2026-08-31T17:22:20.135+01:00,1049647.9053000002,1.2042771577835083,68.99999850500534,False,9.448500000871718,200,TRACKING_AXIS,0.9537088524579072,18.09749811012125,161.90250188987875,True,1,0.5135761350393295,0.4370274808671739,0.5156004190444946,0.42156240675184464,1280,720,1.8956971056433645,0.9027734994888306,0.9027734994888306,125.1124999980675,CONFIRMED,18.09749811012125,16.201801004477886,ACOUSTIC_VISUAL_AGREEMENT
5225,2026-08-31T17:22:20.419+01:00,1050081.1002999982,1.2042771577835083,68.99999850500534,False,156.26110000448534,200,SEARCHING,0.7080717851860562,,,True,1,0.5145244538784027,0.4371040821075439,0.516844654083252,0.42182464599609376,1280,720,1.9998050301338708,0.9041896462440491,0.9041896462440491,323.1837999992422,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5226,2026-08-31T17:22:20.576+01:00,1050093.4807000011,1.2042771577835083,68.99999850500534,False,12.181099998997524,200,SEARCHING,0.6876351286619802,,,True,1,0.5145244538784027,0.4371040821075439,0.516844654083252,0.42182464599609376,1280,720,1.9998050301338708,0.9041896462440491,0.9041896462440491,335.56420000240905,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5227,2026-08-31T17:22:20.734+01:00,1050252.7316999985,1.2042771577835083,68.99999850500534,False,15.585900000587571,200,SEARCHING,0.0,,,True,1,0.5141428887844086,0.43737111621432834,0.5161820888519287,0.42144156561957463,1280,720,1.957917767318321,0.9033924341201782,0.9033924341201782,140.00079999823356,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5228,2026-08-31T17:22:20.934+01:00,1050452.390999999,1.2042771577835083,68.99999850500534,False,13.843500004441012,200,SEARCHING,0.0,,,True,1,0.5138582617044449,0.4376119295756022,0.5155663967132569,0.4220168007744683,1280,720,1.9266707515976975,0.9042320251464844,0.9042320251464844,138.23520000005374,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5229,2026-08-31T17:22:21.135+01:00,1050651.1611000025,1.2042771577835083,68.99999850500534,False,12.958499995875172,200,SEARCHING,0.0,,,True,1,0.5142893701791763,0.438308933046129,0.5161211967468262,0.4221343782212999,1280,720,1.973998378950938,0.9042269587516785,0.9042269587516785,129.22380000236444,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5230,2026-08-31T17:22:21.434+01:00,1050956.0045000035,1.2042771577835083,68.99999850500534,False,17.834999998740386,200,SEARCHING,0.0,,,True,1,0.5142893701791763,0.438308933046129,0.5161211967468262,0.4221343782212999,1280,720,1.973998378950938,0.9042269587516785,0.9042269587516785,434.06720000348287,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5231,2026-08-31T17:22:21.596+01:00,1051118.4957000006,1.2042771577835083,68.99999850500534,False,18.923399999039248,200,SEARCHING,0.0,,,True,1,0.5143954008817673,0.43710853258768717,0.5167316913604736,0.4223590850830078,1280,720,1.9856381516457873,0.9043393731117249,0.9043393731117249,152.83420000196202,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5232,2026-08-31T17:22:21.734+01:00,1051250.7410000034,1.2042771577835083,68.99999850500534,False,13.684199999261182,200,SEARCHING,0.0,,,True,1,0.5147100865840912,0.43664668401082357,0.5172173738479614,0.421784782409668,1280,720,2.020182554352232,0.9024850726127625,0.9024850726127625,77.5019000066095,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5233,2026-08-31T17:22:21.934+01:00,1051455.8848000015,1.2042771577835083,68.99999850500534,False,18.0908999973326,200,SEARCHING,0.0,,,True,1,0.513936972618103,0.4368567413753933,0.5160082101821899,0.4212765163845486,1280,720,1.9353119322807117,0.9033879637718201,0.9033879637718201,70.95120000303723,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5234,2026-08-31T17:22:22.134+01:00,1051659.3272000027,1.2042771577835083,68.99999850500534,False,21.215099994151387,200,SEARCHING,0.0,,,True,1,0.513936972618103,0.4368567413753933,0.5160082101821899,0.4212765163845486,1280,720,1.9353119322807117,0.9033879637718201,0.9033879637718201,274.3936000042595,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5235,2026-08-31T17:22:22.429+01:00,1051956.8088000014,1.2740904092788696,73.00000316977493,False,22.836299998743925,200,SEARCHING,0.0,,,True,1,0.5142202585935592,0.4366414917839898,0.5166498184204101,0.4215609868367513,1280,720,1.9664114023673562,0.9037351608276367,0.9037351608276367,340.4221000018879,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5236,2026-08-31T17:22:22.607+01:00,1052126.3571000018,1.2740904092788696,73.00000316977493,False,13.352599999052472,200,SEARCHING,0.0,,,True,1,0.5142202585935592,0.4366414917839898,0.5166498184204101,0.4215609868367513,1280,720,1.9664114023673562,0.9037351608276367,0.9037351608276367,509.97040000220295,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5237,2026-08-31T17:22:22.736+01:00,1052256.3410000002,1.2740904092788696,73.00000316977493,False,15.361700003268197,200,SEARCHING,0.0,,,True,1,0.513925376534462,0.4366364849938287,0.5159469366073608,0.4210968229505751,1280,720,1.9340388760471967,0.902194619178772,0.902194619178772,133.5828000010224,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5238,2026-08-31T17:22:22.935+01:00,1052455.3239000016,1.2740904092788696,73.00000316977493,False,16.46150000306079,200,SEARCHING,0.0,,,True,1,0.5136797219514847,0.4370808548397488,0.5157312154769897,0.4217394298977322,1280,720,1.9070696603853037,0.903544008731842,0.903544008731842,103.02410000440432,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5239,2026-08-31T17:22:23.136+01:00,1052664.6404999993,1.2740904092788696,73.00000316977493,False,24.588599997514393,200,SEARCHING,0.0,,,True,1,0.5137360960245132,0.43704978624979657,0.5159041166305542,0.4213823530409071,1280,720,1.9132587694248002,0.903113603591919,0.903113603591919,111.60309999831952,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5240,2026-08-31T17:22:23.430+01:00,1052952.0534000038,1.2740904092788696,73.00000316977493,False,15.626899999915622,200,SEARCHING,0.0,,,True,1,0.5131888270378113,0.43686303562588163,0.5153623342514038,0.4217765172322591,1280,720,1.8531741870346536,0.9033795595169067,0.9033795595169067,182.48350000067148,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5241,2026-08-31T17:22:23.586+01:00,1053116.0345000026,1.2740904092788696,73.00000316977493,False,23.883300003944896,200,SEARCHING,0.0,,,True,1,0.5131888270378113,0.43686303562588163,0.5153623342514038,0.4217765172322591,1280,720,1.8531741870346536,0.9033795595169067,0.9033795595169067,346.4645999993081,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5242,2026-08-31T17:22:23.734+01:00,1053252.9562999988,1.2740904092788696,73.00000316977493,False,15.560600004391745,200,SEARCHING,0.0,,,True,1,0.51303671002388,0.4369323518541124,0.5154072999954223,0.4220605426364475,1280,720,1.8364725523643415,0.9018830060958862,0.9018830060958862,142.03730000008363,WITHHELD,,,ACOUSTIC_NOT_TRACKING
5243,2026-08-31T17:22:23.934+01:00,1053450.7184000032,1.2740904092788696,73.00000316977493,False,12.63430000108201,200,SEARCHING,0.0,,,True,1,0.5143296152353287,0.4372654861874051,0.5164766550064087,0.4212857352362739,1280,720,1.9784163950050697,0.903268575668335,0.903268575668335,138.62640000297688,WITHHELD,,,ACOUSTIC_NOT_TRACKING
